administration_date,supplier,area,age_group,start_age,end_age,male_count,female_count,first_doses,second_doses,post_infection_doses,booster_doses,NUTS1_code,NUTS2_code,region_ISTAT_code,region_name,region_longitude,region_latitude,region_coordinates
2020-12-27,Moderna,SIC,90+,90,,0,1,1,0,0,0,ITG,ITG1,19,Sicilia,14.0153557,37.5999938,"37.5999938, 14.0153557"
2020-12-27,Pfizer/BioNTech,ABR,20-29,20,29,1,1,2,0,0,0,ITF,ITF1,13,Abruzzo,13.7289167,42.1920119,"42.1920119, 13.7289167"
2020-12-27,Pfizer/BioNTech,ABR,30-39,30,39,1,4,5,0,0,0,ITF,ITF1,13,Abruzzo,13.7289167,42.1920119,"42.1920119, 13.7289167"
2020-12-27,Pfizer/BioNTech,ABR,40-49,40,49,1,8,9,0,0,0,ITF,ITF1,13,Abruzzo,13.7289167,42.1920119,"42.1920119, 13.7289167"
2020-12-27,Pfizer/BioNTech,ABR,50-59,50,59,7,6,13,0,0,0,ITF,ITF1,13,Abruzzo,13.7289167,42.1920119,"42.1920119, 13.7289167"
2020-12-27,Pfizer/BioNTech,ABR,60-69,60,69,12,4,16,0,0,0,ITF,ITF1,13,Abruzzo,13.7289167,42.1920119,"42.1920119, 13.7289167"
2020-12-27,Pfizer/BioNTech,ABR,70-79,70,79,1,0,1,0,0,0,ITF,ITF1,13,Abruzzo,13.7289167,42.1920119,"42.1920119, 13.7289167"
2020-12-27,Pfizer/BioNTech,ABR,80-89,80,89,1,0,1,0,0,0,ITF,ITF1,13,Abruzzo,13.7289167,42.1920119,"42.1920119, 13.7289167"
2020-12-27,Pfizer/BioNTech,BAS,20-29,20,29,4,5,9,0,0,0,ITF,ITF5,17,Basilicata,15.9699878,40.6430766,"40.6430766, 15.9699878"
2020-12-27,Pfizer/BioNTech,BAS,30-39,30,39,10,18,28,0,0,0,ITF,ITF5,17,Basilicata,15.9699878,40.6430766,"40.6430766, 15.9699878"
2020-12-27,Pfizer/BioNTech,BAS,40-49,40,49,7,24,31,0,0,0,ITF,ITF5,17,Basilicata,15.9699878,40.6430766,"40.6430766, 15.9699878"
2020-12-27,Pfizer/BioNTech,BAS,50-59,50,59,11,15,26,0,0,0,ITF,ITF5,17,Basilicata,15.9699878,40.6430766,"40.6430766, 15.9699878"
2020-12-27,Pfizer/BioNTech,BAS,60-69,60,69,9,4,13,0,0,0,ITF,ITF5,17,Basilicata,15.9699878,40.6430766,"40.6430766, 15.9699878"
2020-12-27,Pfizer/BioNTech,CAL,20-29,20,29,18,42,60,0,0,0,ITF,ITF6,18,Calabria,16.3463791,39.3087714,"39.3087714, 16.3463791"
