region_name,longitude,latitude
Abruzzo,13.7289167,42.1920119
Basilicata,15.9699878,40.6430766
Calabria,16.3463791,39.3087714
Campania,15.1068113,40.6670887
Emilia-Romagna,11.2186396,44.5967607
Friuli-Venezia Giulia,13.1033646,46.2259177
Lazio,12.989615,41.6552418
Liguria,8.3964938,44.3167917
Lombardia,9.8452433,45.47906709999999
Marche,12.989615,43.5058744
Molise,14.7520939,41.67388649999999
Piemonte,7.5153885,45.0522366
Puglia,17.1011931,40.7928393
Provincia Autonoma Bolzano / Bozen,11.3547335,46.4982901
Provincia Autonoma Trento,11.1175392,46.0512004
Sardegna,9.012892599999999,40.1208752
Sicilia,14.0153557,37.5999938
Toscana,11.2486208,43.7710513
Umbria,12.6216211,42.938004
Valle d'Aosta / Vallée d'Aoste,7.426186599999999,45.7388878
Veneto,12.3152595,45.4414662
